x sin cos sinc
-10.0 0.5440211108893698 -0.8390715290764524 -0.05440211108893698
-9.95 0.5014051281791974 -0.865212631343072 -0.05039247519388919
-9.899999999999999 0.4575358937753198 -0.8891911526253617 -0.046215746845991904
-9.849999999999998 0.4125230579170911 -0.9109471591078883 -0.04188051349412093
-9.799999999999997 0.3664791292519251 -0.9304262721047546 -0.03739582951550257
-9.749999999999996 0.31951919362227027 -0.9475798039779944 -0.032771199345873886
-9.699999999999996 0.271760626410939 -0.9623648798313111 -0.02801655942380816
-9.649999999999995 0.22332279916377867 -0.9747445446749905 -0.023142258980702466
-9.599999999999994 0.17432678122297438 -0.9846878557941279 -0.018159039710726507
-9.549999999999994 0.12489503711674527 -0.9921699600893018 -0.013078014357774382
-9.499999999999993 0.07515112046180222 -0.997172156196379 -0.007910644259137081
-9.449999999999992 0.02521936514365162 -0.9996819412301851 -0.002668715888217105
-9.399999999999991 -0.024775425453366647 -0.9996930420352063 0.0026356835588687948
-9.34999999999999 -0.07470829038954364 -0.9972054308652113 0.007990191485512697
-9.29999999999999 -0.12445442350707228 -0.9922253254526022 0.013382196076029291
-9.24999999999999 -0.17388948538044405 -0.9847651734673217 0.01879886328437235
-9.199999999999989 -0.22288991410025805 -0.9748436214041613 0.024227164576115037
-9.149999999999988 -0.2713332341136447 -0.9624854679762339 0.02965390536761148
-9.099999999999987 -0.3190983623493639 -0.9477216021311079 0.035065754104325754
-9.049999999999986 -0.36606591086242424 -0.9305889258445232 0.04044927191849998
-8.999999999999986 -0.4121184852417695 -0.9111302618846712 0.04579094280464113
-8.949999999999985 -0.45714097803516845 -0.8893942467775748 0.05107720424973958
-8.899999999999984 -0.5010208564578985 -0.8654352092411042 0.05629447825369656
-8.849999999999984 -0.5436484436661018 -0.839313034391475 0.06142920267413591
-8.799999999999983 -0.5849171928917761 -0.8110930140616456 0.06646786282861106
-8.749999999999982 -0.6247239537542063 -0.780845683605738 0.07139702328619515
-8.699999999999982 -0.6629692300821967 -0.7486466455973869 0.076203359779563
-8.64999999999998 -0.699557428602682 -0.7145763808626783 0.0808736911679403
-8.59999999999998 -0.7343970978741267 -0.6787200473199981 0.0853950113807126
-8.54999999999998 -0.767401156867501 -0.6411672671295855 0.08975452127105296
-8.499999999999979 -0.7984871126235031 -0.6020119026848066 0.09393966030864766
-8.449999999999978 -0.8275772664419959 -0.5613518220050538 0.09793813804047315
-8.399999999999977 -0.8545989080882924 -0.5192886541166659 0.10173796524860651
-8.349999999999977 -0.8794844975308759 -0.47592753503328933 0.10532748473423693
-8.299999999999976 -0.902171833756304 -0.43137684497059836 0.10869540165738635
-8.249999999999975 -0.9226042102393499 -0.3857479374521989 0.11183081336234578
-8.199999999999974 -0.9407305566797816 -0.33915486098381115 0.11472323861948591
-8.149999999999974 -0.9565055666515169 -0.29171407399140104 0.11736264621491042
-8.099999999999973 -0.9698898108450928 -0.24354415373576527 0.11973948282038223
-8.049999999999972 -0.9808498356204051 -0.19476549993113348 0.12184470007706937
-7.999999999999972 -0.9893582466233859 -0.1455000338085854 0.12366978082792371
-7.949999999999971 -0.9953937772576227 -0.09587089337646863 0.12520676443492157
-7.89999999999997 -0.9989413418397735 -0.046002125639506786 0.12644827111895915
-7.8499999999999694 -0.9999920733059185 0.003981623454109936 0.12738752526190095
-7.799999999999969 -0.9985433453746033 0.053955420562680795 0.12801837761212914
-7.749999999999968 -0.9945987791111728 0.10379435721928477 0.12833532633692604
-7.699999999999967 -0.9881682338769954 0.15337386203789682 0.1283335368671428
-7.649999999999967 -0.9792677826861932 0.2025700120769774 0.1280088604818559
-7.599999999999966 -0.9679196720314779 0.2512598425822884 0.12735785158308977
-7.549999999999965 -0.9541522662795044 0.2993216543347401 0.12637778361317997
-7.4999999999999645 -0.9379999767747266 0.34663531783505913 0.12506666356996413
-7.449999999999964 -0.9195031758289564 0.3930825735649742 0.12342324507771286
-7.399999999999963 -0.8987080958116106 0.43854732757442383 0.12144703997454258
-7.349999999999962 -0.8756667135928642 0.4829159416559705 0.11913832837998213
-7.299999999999962 -0.8504366206285443 0.5260775173811378 0.11649816720939024
-7.249999999999961 -0.8230808790114833 0.567924173288727 0.11352839710503283
-7.19999999999996 -0.7936678638491288 0.6083513145322863 0.11023164775682401
-7.1499999999999595 -0.7622710923613848 0.6472578943127547 0.10661134158900541
-7.099999999999959 -0.728969040125848 0.6845466664428363 0.10267169579237355
-7.049999999999958 -0.6938449449297336 0.7201244284118231 0.09841772268506918
-6.999999999999957 -0.656986598718757 0.7539022543433327 0.09385522838839443
-6.949999999999957 -0.6184861281629898 0.785795717263688 0.08899080980762498
-6.899999999999956 -0.5784397643881639 0.8157251001253826 0.08383184991132864
-6.849999999999955 -0.5369476024479736 0.8436155950581835 0.07838651130627411
-6.7999999999999545 -0.4941133511385688 0.8693974903498476 0.07266372810861343
-6.749999999999954 -0.45004407378057637 0.8930063446890975 0.0666731961156414
-6.699999999999953 -0.4048499206165553 0.9143831482353384 0.06042536128605345
-6.649999999999952 -0.3586438534927556 0.933474470112529 0.05393140654026439
-6.599999999999952 -0.3115413635133323 0.9502325919585445 0.04720323689595978
-6.549999999999951 -0.26366018237273126 0.964615627196231 0.0402534629576692
-6.49999999999995 -0.21511998808776694 0.9765876257280341 0.03309538278273376
-6.4499999999999496 -0.1660421058649073 0.9861186637925209 0.025742962149598363
